127.0.0.1 - - [23/Jul/2023:21:19:52 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:20:12 -0300] "GET /aluguel/ HTTP/1.1" 200 14419
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:20:12 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39704
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:20:14 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:20:22 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 35876
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:23:17 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39718
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:23:19 -0300] "GET /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 34978
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:23:46 -0300] "POST /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:24:29 -0300] "POST /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:24:29 -0300] "GET /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 34268
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:25:58 -0300] "GET /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 24620
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:26:45 -0300] "GET /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 19740
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:26:48 -0300] "GET /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 19740
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:27:16 -0300] "GET /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 14023
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:27:17 -0300] "GET /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 14021
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:33:54 -0300] "POST /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [23/Jul/2023:21:37:46 -0300] "GET /aluguel/faces/pages/contratoindividual.xhtml HTTP/1.1" 200 14312
